folder_name,repository_name,state_name
repo-ansible,ansible-windows-bootstrap,ansible_bootstrap
repo-ansible,ansible-playbooks-common-devops,ansible_playbooks
repo-legacy,legacy-cpp-library-adt-dsa,cpp_library_dsa
repo-legacy,legacy-cpp-polish-reverse-polish-converter,polish_converter
repo-legacy,legacy-cpp-sorting-techniques,sorting_techniques
repo-legacy,legacy-java-learning-problems,java_learning
repo-legacy,legacy-c-language-projects,projects_in_c
repo-web-development,webdev-clone-amazon,webdev_clone_amazon
repo-web-development,webdev-tool-microservices-blog,webdev_tool_microservices_blog
repo-web-development,webdev-ui-dropdown-menu,webdev_ui_dropdown_menu
repo-web-development,webdev-app-flat-guru-usf,webdev_app_flat_guru_usf
repo-web-development,webdev-app-green-rise-nepal,webdev_app_green_rise_nepal
repo-web-development,webdev-learn-js-journey,webdev_learn_js_journey
repo-web-development,webdev-portfolio-main,webdev_portfolio_main
repo-web-development,webdev-learn-js-projects,webdev_learn_js_projects
repo-web-development,webdev-app-weather,webdev_app_weather
repo-developed-applications,dmz,dotmanz
repo-developed-applications,homebrew-dmz,homebrew_dotmanz
repo-aws,aws-service-notes,aws_notes
repo-aws,aws-cli-automation-scripts,aws_scripting
repo-aws,aws-3tier-web-architecture,aws_three_tier
repo-aws,aws-cloud-native-microservices-deployment,end_to_end_devops
repo-aws,aws-lambda-serverless-jira-github-sync,serverless_github_jira
repo-aws,aws-iac-terraform-monorepo,cloud_iac_monorepo
repo-aws,aws-mongodb-ha-replicaset-cluster,aws_mongodb_cluster
repo-dynatrace,dynatrace-terraform-observability-dashboards,dynatrace_hybrid_monaco
repo-terraform,Terraform-best-methods,best_methods
repo-terraform,terraform-github-ayuspo,github_management
repo-terraform,Terraform-Automation-Projects,automation_projects
repo-misc,ayuspoudel-resume,ayuspo_resume
repo-misc,ayuspoudel,profile_config
repo-ops,ops-shell-scripting-automation,shell_scripting_projects
repo-ops,ops-cicd-pipeline-jenkins-argocd-k8s,cicd_pipeline_jenkins_argocd
repo-ops,ops-kubernetes-demo-application,kubernetes_demo_app
repo-ops,ops-python-infra-utilities,python_utilities
